Reaction_ID,data_type,kcat,MW,kcat_MW
rxn00337_c0_reverse,DLkcat,13.2034,43112.671,551.2560333
rxn05607_c0,DLkcat,13.0245,62216.1267,250.4993253
rxn03084_c0,DLkcat,12.9456,135481.9803,343.987886
rxn11946_c0_num1,DLkcat,12.8879,253566.1113,91.48785648
rxn03638_c0,DLkcat,12.8512,49149.7964,313.7640668
rxn06729_c0,DLkcat,12.8181,8343.089,1351.66177
rxn05610_c0_num4,DLkcat,12.7096,29899.1996,765.1469038
rxn00785_c0_num1,DLkcat,12.6996,33236.9178,1375.53549
rxn03435_c0_reverse,DLkcat,12.5688,35895.7825,1260.529144
rxn01859_c0,DLkcat,12.4284,28901.6059,774.0441856
rxn05349_c0,DLkcat,12.3393,8726.6991,1301.172567
rxn00461_c0,DLkcat,12.294,44074.7438,330.8005945
rxn00139_c0_reverse,DLkcat,12.1444,19614.3662,742.9901049
rxn08615_c0_reverse,DLkcat,12.1193,53713.5631,203.0654712
rxn05614_c0,DLkcat,12.1117,25690.2899,386.5976804
rxn01000_c0_num1,DLkcat,11.9934,42294.9745,255.2090438
rxn02320_c0_reverse_num2,DLkcat,11.9631,38571.7807,273.5521495
rxn06848_c0_reverse_num16,DLkcat,11.9573,49533.6117,217.2579311
rxn00192_c0_num8,DLkcat,11.9573,17523.0301,2456.554589
rxn15949_c0,DLkcat,11.9573,41845.1693,514.3518442
rxn00533_c0_num2,DLkcat,11.8907,31564.7865,1356.147934
rxn00506_c0,DLkcat,11.7953,54001.7695,261.3464439
rxn12636_c0_reverse_num1,DLkcat,11.7732,26711.8884,1586.691265
rxn00293_c0,DLkcat,11.7153,49149.7964,286.0308898
rxn08073_c0_num3,DLkcat,11.6395,193068.7376,108.5162738
rxn01682_c0_reverse,DLkcat,11.4893,43086.6229,289.1490538
rxn02159_c0,DLkcat,11.4601,45855.9126,899.6955389
rxn12639_c0_reverse_num2,DLkcat,11.4486,38522.6475,1069.889083
rxn08298_c0,DLkcat,11.4424,17917.1538,2299.061584
rxn05671_c0,DLkcat,11.2996,54301.234,124.8546212
rxn03175_c0,DLkcat,11.276,26040.6031,1558.857905
rxn01964_c0,DLkcat,11.2738,43086.6229,283.7256058
rxn03066_c0_reverse,DLkcat,11.2738,43917.5768,462.0664772
rxn03481_c0,DLkcat,11.2236,53899.5769,189.6137314
rxn12634_c0_reverse_num1,DLkcat,11.2154,26711.8884,1511.515749
rxn05610_c0_reverse_num4,DLkcat,11.2154,29899.1996,675.1926563
rxn00192_c0_num2,DLkcat,11.1992,16680.9247,2416.959535
rxn06848_c0_reverse_num21,DLkcat,11.163,15619.9012,643.1986907
rxn03445_c0,DLkcat,11.0239,39822.2915,498.2892559
rxn01799_c0,DLkcat,10.9999,28901.6059,685.0768109
rxn08131_c0_reverse,DLkcat,10.9968,47285.425,69.76864435
rxn00701_c0,DLkcat,10.9894,38186.8723,347.4454912
rxn05957_c0,DLkcat,10.7151,46096.3178,251.7868935
rxn06848_c0_reverse_num9,DLkcat,10.5153,17523.0301,2160.304456
rxn06865_c0_reverse_num9,DLkcat,10.4314,17523.0301,2143.067711
rxn20643_c0,DLkcat,10.2466,47285.425,65.0090382
rxn01466_c0,DLkcat,10.2466,32165.5492,1146.809581
rxn09177_c0,DLkcat,10.2466,27277.3273,338.0807767
rxn01211_c0,DLkcat,10.2221,30106.6758,611.1528261
